Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     14.13     0.00    25000     0.00     0.00  tinyxml2::XMLDocument::NewElement(char const*)
  0.00     14.13     0.00    25000     0.00     0.00  tinyxml2::XMLAttribute::SetAttribute(char const*)
  0.00     14.13     0.00    25000     0.00     0.00  tinyxml2::XMLAttribute::SetAttribute(double)
  0.00     14.13     0.00    25000     0.00     0.00  tinyxml2::XMLAttribute::SetAttribute(int)
  0.00     14.13     0.00    25000     0.00     0.00  tinyxml2::XMLAttribute::SetName(char const*)
  0.00     14.13     0.00    25000     0.00     0.00  tinyxml2::XMLAttribute::XMLAttribute()
  0.00     14.13     0.00    25000     0.00     0.00  tinyxml2::XMLAttribute::~XMLAttribute()
  0.00     14.13     0.00    25000     0.00     0.00  tinyxml2::XMLUtil::ToStr(bool, char*, int)
  0.00     14.13     0.00    25000     0.00     0.00  tinyxml2::XMLUtil::ToStr(double, char*, int)
  0.00     14.13     0.00    25000     0.00     0.00  tinyxml2::MemPoolT<36>::SetTracked()
  0.00     14.13     0.00    25000     0.00     0.00  tinyxml2::MemPoolT<36>::Free(void*)
  0.00     14.13     0.00    25000     0.00     0.00  tinyxml2::XMLAttribute::Next() const
  0.00     14.13     0.00    25000     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00     14.13     0.00     2000     0.00     0.00  tinyxml2::XMLUtil::ToInt(char const*, int*)
  0.00     14.13     0.00     1000     0.00     0.01  tinyxml2::XMLNode::DeleteChild(tinyxml2::XMLNode*)
  0.00     14.13     0.00     1000     0.00     0.00  tinyxml2::XMLUtil::ToBool(char const*, bool*)
  0.00     14.13     0.00     1000     0.00     0.00  tinyxml2::XMLUtil::ToFloat(char const*, float*)
  0.00     14.13     0.00     1000     0.00     0.00  tinyxml2::XMLAttribute::QueryIntValue(int*) const
  0.00     14.13     0.00     1000     0.00     0.00  tinyxml2::XMLAttribute::QueryBoolValue(bool*) const
  0.00     14.13     0.00     1000     0.00     0.00  tinyxml2::XMLAttribute::QueryFloatValue(float*) const
  0.00     14.13     0.00      322     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<52>::Block*, 10>::Size() const
  0.00     14.13     0.00      321     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<52>::Block*, 10>::EnsureCapacity(int)
  0.00     14.13     0.00      321     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<52>::Block*, 10>::Push(tinyxml2::MemPoolT<52>::Block*)
  0.00     14.13     0.00      321     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<52>::Block*, 10>::operator[](int)
  0.00     14.13     0.00      223     0.00     0.00  tinyxml2::DynArray<tinyxml2::MemPoolT<36>::Block*, 10>::Size() const
